Recipient Name,Recipient DBA,File Number,Recipient Address,Recipient City,Recipient State,Recipient Zip,Recipient County,Recipient EIN,Grant Description,Fiscal Year Awarded,Award Amount,Grant Dureation in Years,Recipient Phone,Grant Subject 1,Grant Subject 2,Grant Subject 3,Support Strategy 1,Support Code Rollup 1,Support Strategy 2,Support Code Rollup2,Support Strategy 3,Support Code Rollup 3,Geographic Areas Served by Grant    ,Populations Served by Grant,transaction_type,Award Type,Initiative Name,Portfolio,Org Mission Statement
American Civil Liberties Foundation of Oregon,ACLU,16050489,PO Box 40585,Portland,OR,97240,Multnomah,23-7048829,To support a campaign to engage communities of color with stakeholders within the criminal justice system to address racial and ethnic disparity in Multnomah County's criminal justice system,2017 ,"$150,000 ",two years,5032276928,SJ000000 - Public Safety,,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,1002699,PA000000,TA00 - Cash Grants,Grant,,Building Community,"The Oregon Affiliate of the ACLU is a non-partisan organization dedicated to the preservation and enhancement of civil liberties and civil rights. 
We believe that the freedoms of press, speech, assembly, and religion, and the rights to due process, equal protection and privacy, are fundamental to a free people. We advance civil liberties and civil rights by activities which include litigation, education, and lobbying."
American Leadership Forum of Oregon,ALF Oregon,16120916,"221 NW Second Ave, Ste 306",Portland,OR,97209,Clackamas,94-3106407,To establish a geographically and racially diverse Urban/Rural Connection Leadership Cohort that will focus on bridging Oregon’s urban and rural divide,2017 ,"$80,000 ",one year,5036362288,SK020000 - Leadership Development,SN020100 - Urban Development,SN020200 - Rural Development,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,"PE000000, PG030200",TA00 - Cash Grants,Grant,,Building Community,The purpose of the American Leadership Forum of Oregon is to join and strengthen leaders in order to better serve the public good. It enhances leadership by building on the strengths of diversity and by promoting collaborative problem solving within and among communities both urban and rural.
Artists Repertory Theatre,,16050469,1515 SW Morrison St.,Portland,OR,97205,Multnomah,93-0828781,"To support and expand ART's ArtsHub Program, which permanently houses 11 culturally specific resident organizations and offers rehearsal, performance and event space to showcase the work of diverse and inclusive performing artists and companies",2017 ,"$125,000 ",two years,5032419807,SA060200 - Theater,SA060000 - Performing Arts,,UA0000 - General Support,Operating Support,,,,,1002699,PA000000,TA00 - Cash Grants,Grant,,Building Community,"Artists Repertory Theatre's mission is to produce intimate, provocative theatre and provide a home for artists and audiences to take creative risks."
Asian Pacific American Network of Oregon,APANO Communities United Fund,16050509,PO Box 6552,Portland,OR,97208,Multnomah,80-0252850,For planning and infrastructure of the Healthy Communities Coalition,2017 ,"$50,000 ",one year,9713404861,SK040100 - Civic Participation,SN000000 - Community And Economic Development,,UN0000 - Program Development,Project Support,,,,,,"PE000000, PG030200",TA00 - Cash Grants,Grant,,Building Community,"The Asian Pacific American Network of Oregon is a statewide, grassroots organization, uniting Asians and Pacific Islanders to achieve social justice.  We use our collective strengths to advance equity through empowering, organizing and advocating with our communities."
Astoria Warming Center,,16050283,1076 Franklin Ave.,Astoria,OR,97103,Clatsop,47-5384217,For technical assistance for this organization serving families experiencing homelessness in winter in Clatsop County,2017 ,"$5,000 ",one year,5035084021,SS070400 - Homeless Shelters,,,UD0100 - Technical Assistance,Capacity Building,,,,,1002276,PG030100,TA00 - Cash Grants,Grant,,Building Community,"To provide overnight shelter, needs assessment, and resource referral to homeless individuals and families"
Astoria Warming Center,,16050283,1076 Franklin Ave.,Astoria,OR,97103,Clatsop,47-5384217,For operating support for this organization serving families experiencing homelessness in winter in Clatsop County,2017 ,"$18,090 ",one year,5035084021,SS070400 - Homeless Shelters,,,UA0000 - General Support,Operating Support,,,,,1002276,PG030100,TA00 - Cash Grants,Grant,,Building Community,"To provide overnight shelter, needs assessment, and resource referral to homeless individuals and families"
Basic Rights Education Fund,,16120970,P.O. Box 40625,Portland,OR,97240,Multnomah,93-1266613,To deepen the leadership and advocacy skills of LGBTQ people of color and transgender Oregonians,2017 ,"$85,000 ",one year,5032226151,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,UK0100 - Advocacy,Project Support,,,7007708,"PE000000, PC010000",TA00 - Cash Grants,Grant,,Building Community,"Basic Rights Oregon will ensure that all lesbian, gay, bisexual, transgender and queer (LGBTQ) Oregonians experience equality by building a broad and inclusive politically powerful movement, shifting public opinion, and achieving policy victories."
Basic Rights Education Fund,,16050505,P.O. Box 40625,Portland,OR,97240,Multnomah,93-1266613,"For operating support for an organization that advocates for workplace equity for transgender people, provides education to counter transgender discrimination and works to ensure all lesbian, gay, bisexual, transgender and queer Oregonians experience equality across all sectors and cultures",2017 ,"$150,000 ",two years,5032226151,SR010000 - Individual Liberties,,,UA0000 - General Support,Operating Support,,,,,7007708,PC010000,TA00 - Cash Grants,Grant,,Building Community,"Basic Rights Oregon will ensure that all lesbian, gay, bisexual, transgender and queer (LGBTQ) Oregonians experience equality by building a broad and inclusive politically powerful movement, shifting public opinion, and achieving policy victories."
Bend 2030,,16120918,P.O. Box 431,Bend,OR,97701,Deschutes,26-1367020,To support twelve organizations in strengthening civic engagement and participation around housing advocacy,2017 ,"$110,000 ",two years,5414208603,SN000000 - Community And Economic Development,SK040100 - Civic Participation,SN040000 - Housing Development,UD0000 - Capacity Building And Technical Assistance,Capacity Building,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,"2001705, 2084413","PG010000, PG030200, PE000000",TA00 - Cash Grants,Grant,,Building Community,Bend 2030 engages and empowers our community to achieve its Vision for Bend in 2030.
Black United Fund of Oregon,,16050202,2828 NE Alberta St.,Portland,OR,97211,Multnomah,93-0843267,For technical assistance to support board and staff in developing and implementing a financial sustainability plan,2017 ,"$20,000 ",one year,5032827973,SN000000 - Community And Economic Development,,,UD0100 - Technical Assistance,Capacity Building,,,,,"1002994, 1002270, 1002699","PG030200, PE030100",TA00 - Cash Grants,Grant,,Building Community,"To assist in the social and economic development of Oregon's low-income communities, and to contribute to a broader understanding of ethnic and culturally diverse groups."
Black United Fund of Oregon,,16050202,2828 NE Alberta St.,Portland,OR,97211,Multnomah,93-0843267,To strengthen a student success program that offers one-to-one mentorship and career development planning,2017 ,"$40,000 ",one year,5032827973,SN000000 - Community And Economic Development,,,UA0000 - General Support,Operating Support,,,,,"1002994, 1002699, 1002270","PE030100, PG030200",TA00 - Cash Grants,Grant,,Building Community,"To assist in the social and economic development of Oregon's low-income communities, and to contribute to a broader understanding of ethnic and culturally diverse groups."
Boys and Girls Club of Corvallis,,16120921,1112 NW Circle Blvd.,Corvallis,OR,97330,Benton,23-7153987,To build the skills of teens participating in the Keystone Leadership program by developing opportunities to advocate for improved relationships and policies within local law enforcement,2017 ,"$85,000 ",one year,5417571909,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,2084583,"PE000000, PG030200, PA010400",TA00 - Cash Grants,Grant,,Building Community,"The Mission of the Boys & Girls Club of Corvallis is to attract, continually engage, and inspire elementary, middle, and high school-aged youth to realize their full potential through mentoring, modeling good character, and delivering relevant structured enrichment programs in a safe, positive environment."
CAPACES Leadership Institute,,16050547,356 Young Street,Woodburn,OR,97071,Marion,45-2771253,To support the planning and development of a leadership development program for Latinos interested in pursuing public service,2017 ,"$35,000 ",one year,5039020756,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,UK0100 - Advocacy,Project Support,,,"1002636, 1002794",PE050000,TA00 - Cash Grants,Grant,,Building Community,"The CLI is a non-profit organization based in Woodburn, Oregon that was founded to prepare leaders with the political consciousness and capacity needed to lead and support social justice work."
